name,brand,brand_line,internal_code,internal_code2,ean,top_category,type,price,was_price,discount_percentage,size,availability,description,image_url,rating,review_count,source,scraped_at,url
Douchegel,ZADIG&VOLTAIRE,ZADIG,BP_1356984,,3423222125059,LICHAAM & WELLNESS,Douchegel,"€ 36,00","€ 45,00",20,200 ML,AVAILABLE,SHISEIDO BELGIUM,https://www.iciparisxl.nl/medias/prd-front-1356984-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTQzMTN8aW1hZ2UvanBlZ3xhR1U1TDJoaU1pOHhNVFV6TlRBNE9UQTNOREl3Tmk5d2NtUXRabkp2Ym5RdE1UTTFOams0TkY4eU1ERjRNakF4TG1wd1p3fDcyM2Q3MzBhNTY5M2UwYTU1MjIxYmVjODNhYTQxOThjMmExZjc2MzE5NWFiM2U2MTZkYmFiZDZlZDQ4NDc3ZjY,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/zadig-voltaire/zadig/douchegel/p/BP_1356984
THE SHOWER OIL,GIVENCHY,L'INTERDIT,BP_1175166,,3274872443853,LICHAAM & WELLNESS,Douchegel,"€ 47,56","€ 59,45",20,200 ML,AVAILABLE,GUERLAIN BENELUX,https://www.iciparisxl.nl/medias/prd-front-1175166-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTczNTJ8aW1hZ2UvanBlZ3xhR0ZtTDJnMk9TOHhNRFF5TURjeU1qQXdPREE1TkM5d2NtUXRabkp2Ym5RdE1URTNOVEUyTmw4eU1ERjRNakF4TG1wd1p3fDAyYWJkY2U4ZTllZWQzYzIzYjY2NGIzMGFmYTI2ODMyODhmYWU3MDNlMGY4ODU5ZDVhMmY3MDU5NTNmYmZjNDE,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/givenchy/linterdit/the-shower-oil/p/BP_1175166
Exfoliating Body Scrub for Smooth Skin,CLARINS,Peau Neuve,BP_1358608,,3666057295928,LICHAAM & WELLNESS,Body scrub,"€ 40,80","€ 51,00",20,200 ML,AVAILABLE,CLARINS BELGIQUE NV,https://www.iciparisxl.nl/medias/prd-front-1358608-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTIyMjA0fGltYWdlL2pwZWd8YURJeEwyZzVNUzh4TVRVMk1UZzVOREE0TkRZek9DOXdjbVF0Wm5KdmJuUXRNVE0xT0RZd09GOHlNREY0TWpBeExtcHdad3w2NGE4MzQ5YjM4ZjdjYWFhOWI1NmZhMzgwNThiMjQ3MWQyMWM5NmMxY2U0M2RiYjNlZmJhYmU2ZTBkMjkzNGU3,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/clarins/peau-neuve/exfoliating-body-scrub-for-smooth-skin/p/BP_1358608
Badschuim,ONLY YOU,WINTER COLLECTION,BP_1325974,,8720875403844,LICHAAM & WELLNESS,Bruisbal,"€ 2,08","€ 6,95",70.07,150 ML,AVAILABLE,AS WATSON (TRAD.) MACAO,https://www.iciparisxl.nl/medias/prd-front-1325974-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MjgxOTJ8aW1hZ2UvanBlZ3xhR05tTDJnMk55OHhNVEUyT1RBNU5EWXpNVFExTkM5d2NtUXRabkp2Ym5RdE1UTXlOVGszTkY4eU1ERjRNakF4TG1wd1p3fDdmOTJiYzQ4NTY5ZDhkMDkzODhhOTFkNmMzYmFhMDU0NjNlNzBiY2M5ODI5NjQ2ZWZjYjEyMzI1ZTNjZmQ4MWU,,,iciparisxl.nl,1753098791,https://www.iciparisxl.nl/only-you/winter-collection/badschuim/p/BP_1325974
BOTANISCHE LICHAAMSZEEP MET A.H.A.,MARIO BADESCU,BODY,BP_1114257,,785364104013,LICHAAM & WELLNESS,Douchegel,"€ 8,40","€ 10,50",20,236 ML,AVAILABLE,MARIO BADESCU SKIN CARE INC,https://www.iciparisxl.nl/medias/prd-front-1114257-201x201?context=bWFzdGVyfHByZC1pbWFnZXN8MTQ1MTR8aW1hZ2UvanBlZ3xhREptTDJoaU5TODVNVFkyTURrNE1UQTBNelV3TDNCeVpDMW1jbTl1ZEMweE1URTBNalUzWHpJd01YZ3lNREV8NDFmYzJhODI2M2IyMWNiNzYzYjVjODQ2N2UzZjU1NWUxN2Q4YmVhM2JjODYxOGRiNDU2NmE4Mjc2MmRjODZkYg,,,iciparisxl.nl,1753098817,https://www.iciparisxl.nl/mario-badescu/body/botanische-lichaamszeep-met-aha/p/BP_1114257
Showergel,MICHAEL KORS,Pour Femme,BP_1326184,,850049716345,LICHAAM & WELLNESS,Douchegel,"€ 37,60","€ 47,00",20,200 ML,AVAILABLE,ELHA COSMETICS,https://www.iciparisxl.nl/medias/prd-front-1326184-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTcwMjR8aW1hZ2UvanBlZ3xhR1V6TDJneU15OHhNVEV5TnpnMk1qQXdNVFk1TkM5d2NtUXRabkp2Ym5RdE1UTXlOakU0TkY4eU1ERjRNakF4TG1wd1p3fDE0YzM3NGZjYjY0MGI2ZTI3N2EzYzg2NTBjMmExMDg0NmQ2MTEzZDYzZWU3ZTFmMTRjYWRhYWY1MTVhMDI5OTM,,,iciparisxl.nl,1753098817,https://www.iciparisxl.nl/michael-kors/pour-femme/showergel/p/BP_1326184
Gelée de Douche Bienfaisante à l'Eau de Rose - Douchegel voor het lichaam,DIOR,MISS DIOR,BP_1309370,,3348901687348,LICHAAM & WELLNESS,Douchegel,"€ 47,36","€ 59,20",20,175 ML,AVAILABLE,DIOR CHRISTIAN S.A.,https://www.iciparisxl.nl/medias/prd-front-1309370-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTY0MDl8aW1hZ2UvanBlZ3xhR1EzTDJoaU1pOHhNVFF5TXpBM05UZzVNekkzT0M5d2NtUXRabkp2Ym5RdE1UTXdPVE0zTUY4eU1ERjRNakF4TG1wd1p3fDFhZmY4MTlmZTY0Y2NkYzM1ZTk2ZTJhODBjNjg5MDE3NjhiZTE1MTY2ZWNmZTQ0ZTdjMDlhYTU3MTk3ODRjYWM,,,iciparisxl.nl,1753098817,https://www.iciparisxl.nl/dior/miss-dior/gelee-de-douche-bienfaisante-a-leau-de-rose-douchegel-voor-het-lichaam/p/BP_1309370
shower gel,PHILOSOPHY,pure grace,BP_1336096,,3616305259004,LICHAAM & WELLNESS,Douchegel,"€ 26,40","€ 33,00",20,480 ML,AVAILABLE,COTY BELGIUM NV LUX,https://www.iciparisxl.nl/medias/prd-front-1336096-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8MTc0MDV8aW1hZ2UvanBlZ3xhRFZqTDJnMll5OHhNVEU0T0RZd01qRTBNamMxTUM5d2NtUXRabkp2Ym5RdE1UTXpOakE1Tmw4eU1ERjRNakF4TG1wd1p3fDJhYmRlNmJjNGRhNzEwODQzZDQxM2YzYTc5ZTI4YmJmZWU2NjU4ZTJjZDBjZDdmZDc4NDllODY5MDY1ZGQ5ZjM,,,iciparisxl.nl,1753098817,https://www.iciparisxl.nl/philosophy/pure-grace/shower-gel/p/BP_1336096
Douchegel,DIOR,J'ADORE LES ADORABLES,BP_1289770,,3348901674744,LICHAAM & WELLNESS,Douchegel,"€ 50,80","€ 63,50",20,200 ML,AVAILABLE,DIOR CHRISTIAN S.A.,https://www.iciparisxl.nl/medias/prd-front-1289770-201x201.jpg?context=bWFzdGVyfHByZC1pbWFnZXN8NTA3OHxpbWFnZS9qcGVnfGFETXlMMmcxTlM4eE1EZzVNRE0wT0RVeU56WTBOaTl3Y21RdFpuSnZiblF0TVRJNE9UYzNNRjh5TURGNE1qQXhMbXB3Wnd8YzcwODlkMmQ0NjA5YTJjZWUyMjIxMjY5MDdlYTI0OTIxNWZlYmJhNjFlZWIxMTBiNjhmZGJmMjZmYmExYTllNg,,,iciparisxl.nl,1753098817,https://www.iciparisxl.nl/dior/jadore-les-adorables/douchegel/p/BP_1289770
RIJKE EXFOLIËRENDE CRÈME VOOR HET LICHAAM - VERWIJDERT SCHILFERS & VERZACHT,CLINIQUE,SPARKLE SKIN™ BODY EXFOLIATING CREAM,BP_43837,,020714174231,LICHAAM & WELLNESS,Body scrub,"€ 34,40","€ 43,00",20,250 ML,AVAILABLE,ESTEE LAUDER CLINIQUE,https://www.iciparisxl.nl/medias/zoom-front-43837-201x201?context=bWFzdGVyfHByZC1pbWFnZXN8Njc2MHxpbWFnZS9qcGVnfGFHUTBMMmc1WkM4NE9UYzRNRE16TWpFek5EY3dMM3B2YjIwdFpuSnZiblF0TkRNNE16ZGZNakF4ZURJd01RfGNmZTcxZTczODNkNzUwN2Y3ZGEyYjQwNzQxNjBjZDY1Zjk1NzA2Yjc0ZTBjMDE3ZjUzOWI5MzRhNThhMTNmNzg,,,iciparisxl.nl,1753098817,https://www.iciparisxl.nl/clinique/sparkle-skin-body-exfoliating-cream/rijke-exfolierende-creme-voor-het-lichaam-verwijdert-schilfers-verzacht/p/BP_43837
